name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
XpressBees,4.1,3900.0,Logistics,Pune,8500.0,448.0,8.0,161.0
Blinkit,3.8,3900.0,Internet,Gurugram,14900.0,405.0,1.0,240.0
PVR INOX,3.9,3900.0,Media & Entertainment,New Delhi,9700.0,226.0,51.0,252.0
PhonePe,4.0,3900.0,FinTech,Bengaluru,14500.0,452.0,72.0,207.0
Altruist Technologies,4.3,3900.0,BPO,Bengaluru,8400.0,726.0,6.0,84.0
Birlasoft,3.4,3900.0,IT Services & Consulting,Pune,29900.0,323.0,602.0,255.0
Synechron,3.4,3900.0,IT Services & Consulting,Pune,29500.0,417.0,149.0,261.0
Glenmark Pharmaceuticals,3.8,3800.0,Pharma,Mumbai,12300.0,195.0,219.0,333.0
Sodexo,4.0,3800.0,Hospitality,Mumbai,10300.0,220.0,2200.0,366.0
Kotak Mahindra Life Insurance Company,3.5,3800.0,Insurance,Mumbai,12900.0,269.0,292.0,263.0
Reliance Communications,3.9,3800.0,Telecom,Mumbai,9200.0,110.0,0.0,357.0
Bharat Electronics,4.2,3800.0,Electronics Manufacturing,Bengaluru,13000.0,258.0,0.0,316.0
Dabur,3.8,3800.0,FMCG,New Delhi,9200.0,355.0,41.0,280.0
Cogent E Services,3.1,3800.0,BPO,Noida,10600.0,300.0,2.0,222.0
UNO Minda,3.9,3800.0,Auto Components,Pune,12100.0,279.0,151.0,309.0
ArcelorMittal Nippon Steel India,4.1,3800.0,Iron & Steel,Surat,13300.0,287.0,12.0,134.0
Godrej & Boyce Manufacturing,3.8,3700.0,Consumer Electronics & Appliances,Mumbai,15300.0,247.0,55.0,409.0
Abbott,4.1,3700.0,Pharma,Mumbai,12200.0,192.0,208.0,367.0
Ipca Laboratories,3.8,3700.0,Pharma,Mumbai,11800.0,226.0,48.0,246.0
Aarti Industries,4.1,3700.0,Agro Chemicals,Bharuch,14700.0,341.0,93.0,357.0
Samvardhana Motherson Group,3.7,3700.0,Auto Components,Noida,12000.0,266.0,24.0,415.0
Reliance Projects & Property Management Services,4.0,3700.0,Other,Kolkata,7600.0,218.0,0.0,34.0
Reliance Digital,4.1,3700.0,Retail,Mumbai,8400.0,184.0,2.0,255.0
IGT Solutions,3.2,3700.0,BPO,New Delhi,14000.0,261.0,293.0,225.0
MRF Tyres,3.6,3700.0,Auto Components,Chennai,13400.0,395.0,80.0,350.0
Indian Oil Corporation,4.3,3600.0,Oil & Gas,New Delhi,7900.0,249.0,0.0,302.0
Alkem Laboratories,3.9,3600.0,Pharma,Mumbai,10300.0,208.0,51.0,327.0
"NTT DATA, Inc.",3.9,3600.0,IT Services & Consulting,Bengaluru,21000.0,162.0,128.0,259.0
Johnson Controls,3.5,3600.0,Industrial Automation,Pune,18100.0,312.0,4.0,273.0
Honda Motorcycle & Scooter,4.1,3600.0,Automobile,Gurugram,11200.0,215.0,0.0,347.0
[24]7.ai,3.4,3600.0,Hospitality,Bengaluru,11700.0,203.0,64.0,418.0
Vishal Mega Mart,3.7,3600.0,Retail,New Delhi,6300.0,224.0,3.0,274.0
Barclays,3.7,3600.0,Banking,Pune,35000.0,329.0,0.0,274.0
Hindustan Coca Cola Beverages,4.0,3500.0,Beverage,Bengaluru,8200.0,197.0,24.0,384.0
DTDC Express,3.7,3500.0,Logistics,New Delhi,9000.0,208.0,41.0,267.0
Bajaj General Insurance Limited,3.6,3500.0,Insurance,Pune,11200.0,149.0,344.0,244.0
TVS Credit Services Ltd,4.1,3500.0,NBFC,Chennai,7500.0,171.0,39.0,197.0
RSPL Group,4.0,3500.0,FMCG,Kanpur,10100.0,274.0,43.0,298.0
IndusInd Nippon Life Insurance,3.3,3500.0,Insurance,Mumbai,8100.0,175.0,13.0,216.0
ABB,4.0,3500.0,Industrial Machinery,Bengaluru,19300.0,311.0,557.0,368.0
UBS,3.8,3500.0,Financial Services,Pune,32500.0,382.0,2.0,130.0
AGS Health,3.9,3500.0,Analytics & KPO,Chennai,15400.0,225.0,54.0,299.0
Ceat Tyres,3.9,3500.0,Auto Components,Nagpur,13100.0,217.0,51.0,352.0
Sagility,3.9,3500.0,BPO,Bengaluru,13900.0,311.0,77.0,130.0
NatWest Group,3.9,3400.0,Banking,Gurugram,22100.0,244.0,5.0,379.0
Ford Motor,4.2,3400.0,Automobile,Chennai,15700.0,180.0,6.0,404.0
Alstom Transportation,3.7,3400.0,Engineering & Construction,Bengaluru,16100.000000000002,294.0,175.0,191.0
Croma,3.8,3400.0,Retail,Mumbai,9900.0,197.0,47.0,200.0
HARMAN,3.8,3400.0,Consumer Electronics & Appliances,Bengaluru,24300.0,301.0,158.0,109.0
Niva Bupa Health Insurance Company,4.0,3400.0,Insurance,New Delhi,8900.0,390.0,225.0,137.0
InterGlobe Aviation,3.4,3400.0,Aviation,New Delhi,13800.0,387.0,30.0,319.0
Conduent,3.4,3400.0,BPO,Bengaluru,17300.0,250.0,177.0,377.0
Tata Technologies,3.4,3400.0,Automobile,Pune,23800.0,318.0,294.0,320.0
Tata AIG,4.0,3300.0,Insurance,Mumbai,12200.0,203.0,113.0,242.0
Indian Air Force,4.6,3300.0,Defence & Aerospace,New Delhi,5300.0,88.0,2.0,355.0
Tata AutoComp Systems,3.7,3300.0,Auto Components,Pune,11800.0,226.0,99.0,190.0
GeBBS Healthcare Solutions,3.8,3300.0,BPO,Mumbai,11500.0,191.0,79.0,302.0
Jindal Stainless,4.1,3300.0,Iron & Steel,Jajpur,12100.0,343.0,178.0,210.0
