name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
Frontizo Business Services,3.6,196,BPO,Chandigarh,602,21,--,8
Zen3 Info Solutions,4.0,195,IT Services & Consulting,Hyderabad,1.2k,13,--,25
Tecumseh Products,3.3,195,Industrial Machinery,Faridabad,897,10,3,8
Shemaroo Entertainment,3.2,195,Media & Entertainment,Mumbai,1.1k,10,6,18
HeyCoach,3.9,195,Education & Training,Bengaluru,191,25,19,1
Go Speedy Go,4.5,195,Automobile,Bhubaneswar,101,16,--,29
Ciklum,3.6,195,IT Services & Consulting,Pune,933,34,76,6
Salasar Techno Engineering,4.0,195,Iron & Steel,Ghaziabad,912,18,--,9
Vandana Global,2.9,196,Iron & Steel,Raipur,822,17,6,3
RLabs Enterprise Services,3.0,195,Recruitment,Bengaluru,1.3k,20,--,15
BookMyShow,3.7,195,Internet,Mumbai,1.2k,29,--,20
Monocept,3.3,195,Software Product,Hyderabad,1.3k,26,2,9
Food Corporation of India,4.1,195,Government,New Delhi,703,15,--,12
Emirates NBD,3.0,195,Banking,Bengaluru,1.2k,10,--,24
Epitome Components,3.3,195,Electrical Equipment,Ahilyanagar,843,14,13,6
Cex Webuy Entertainment,3.3,196,Retail,Mumbai,1.1k,22,6,23
Meritto,3.5,195,Internet,Gurugram,1.1k,27,2,20
Bharat Oman Refineries,3.4,195,Oil & Gas,Bina,792,8,--,34
INOXCVA,3.3,195,Engineering & Construction,Vadodara,832,9,12,6
Vertafore,3.8,195,IT Services & Consulting,Hyderabad,1.9k,24,--,17
LS Automotive India,3.4,196,Auto Components,Chennai,1k,9,12,19
Fermenta Biotech,4.3,195,Biotechnology,Bharuch,1k,19,--,20
Modern Business Solutions,3.7,195,Recruitment,Bengaluru,585,8,--,9
Sun Direct TV,3.8,195,Telecom,Chennai,648,9,1,19
OASYS Tech Solutions,3.6,195,IT Services & Consulting,Bhubaneswar,566,13,--,4
Toyo INK,3.9,195,Chemicals,Greater Noida,891,12,3,19
Aeon Credit Service,3.5,195,Financial Services,Mumbai,624,12,--,8
Monomark Engineering,4.0,195,Engineering & Construction,Chittorgarh,681,13,13,15
Enrich Hair And Skin Solutions,3.6,195,Beauty & Personal Care,Mumbai,662,7,11,16
Soch Apparels,4.4,195,Fashion & Textile,Bengaluru,688,9,--,17
ILJIN AUTOMOTIVE,3.7,196,Automobile,Chennai,775,12,1,19
DSM Infocom,2.5,194,IT Services & Consulting,Mumbai,423,6,--,5
Service Master Clean,3.8,194,Facility Management Services,New Delhi,685,14,--,14
Tata Institute of Social Sciences,4.3,194,Education & Training,Mumbai,728,10,--,17
Elsevier,3.7,194,Printing & Publishing,Bengaluru,1.4k,26,180,16
Affine,3.2,194,IT Services & Consulting,Bengaluru,1.4k,55,21,13
Illusion Dental Laboratory,3.4,194,Medical Equipment,Mumbai,587,16,22,6
Green Park Hotels,4.1,194,Hospitality,Hyderabad,679,3,4,24
Walker Chandiok & Co,3.0,194,Accounting & Auditing,Mumbai,1.3k,14,3,8
Gateway Group of Companies,2.6,194,IT Services & Consulting,Ahmedabad,1.1k,28,3,15
Marolix Technology Solutions,2.9,195,IT Services & Consulting,Hyderabad,1k,16,--,8
Vestian Global Workplace Services,3.4,195,Real Estate,Bengaluru,858,7,5,9
Vestian Global Workplace Services,3.4,195,Real Estate,Bengaluru,858,7,5,9
Gateway Group of Companies,2.6,194,IT Services & Consulting,Ahmedabad,1.1k,28,3,15
Marolix Technology Solutions,2.9,195,IT Services & Consulting,Hyderabad,1k,16,--,8
Illusion Dental Laboratory,3.4,194,Medical Equipment,Mumbai,587,16,22,6
NRP Projects,4.1,194,Engineering & Construction,Chennai,736,9,1,14
Hi-Tech,3.6,194,Education & Training,New Delhi,1.2k,22,4,14
Eros Group,3.8,194,Real Estate,New Delhi,761,17,8,21
NexTurn,3.9,194,IT Services & Consulting,Hyderabad,378,37,92,1
Green Park Hotels,4.1,194,Hospitality,Hyderabad,679,3,4,24
Corient Business Solutions,3.0,194,Accounting & Auditing,Mumbai,873,31,8,4
EKA Mobility,3.4,194,Automobile,Pune,880,14,--,5
Jayanita Exports,3.4,194,Furniture & Furnishing,Greater Noida,695,19,--,14
Lohum Cleantech,3.5,195,Semiconductors,Greater Noida,694,23,3,6
Laxmi Remote India,3.4,194,Pharma,Noida,728,12,1,13
Anion Healthcare Services,4.0,194,Healthcare,Hyderabad,679,14,5,54
Jehangir Hospital,3.8,194,Healthcare,Pune,683,9,8,16
Paranjape Schemes (Construction) Limited,3.2,194,Real Estate,Pune,881,11,7,16
DevTown,3.7,193,Education & Training,Bengaluru,123,35,--,--
Neosym Industry,3.8,193,Auto Components,Pune,733,13,4,19
CTR Manufacturing Industries,3.4,194,Industrial Machinery,Pune,859,13,45,9
Ginni Filaments,3.7,193,Fashion & Textile,Noida,766,6,4,13
Pegasus InfoCorp,2.5,193,IT Services & Consulting,Mumbai,1.1k,21,--,16
Timezone Entertainment,3.5,193,Events,Mumbai,550,13,--,7
Godavari Krishna Co-operative Society,4.7,193,Financial Services,Vijayawada,108,63,6,1
Fabtech Projects & Engineers,3.9,193,Engineering & Construction,Pune,829,16,5,11
Givaudan,4.0,193,Beauty & Personal Care,Pune,1.1k,7,--,32
Inteva Products,3.6,193,Auto Components,Bengaluru,1.2k,19,9,21
Value Rcm Solutions,4.1,193,Analytics & KPO,Kolkata,402,33,2,11
Al-Futtaim Group,3.8,193,Retail,Dubai,523,12,--,33
Saatvik Green Energy,4.0,193,Power,Ambala,747,14,2,4
Stedman Pharmaceuticals,4.1,193,Pharma,Chennai,353,27,7,23
The Chennai Silks,3.5,193,Fashion & Textile,Coimbatore,813,10,--,11
Dmi Housing Finance,4.1,193,Financial Services,New Delhi,602,8,--,11
Paisalo Digital,3.5,193,NBFC,New Delhi,452,17,1,5
Panchshil Realty,4.3,193,Real Estate,Pune,980,14,--,15
Dew Solutions,3.4,193,IT Services & Consulting,Gurugram,1.2k,23,2,20
Government of Bihar,3.5,193,Government,Patna,547,2,--,11
Primus Techsystems,3.4,193,IT Services & Consulting,Pune,1.3k,10,9,12
Zeon Lifesciences Ltd.,3.9,193,Fitness & Wellness,Paonta Sahib,721,42,13,17
Toto India Industries,3.7,193,Building Material,Vadodara,665,9,7,18
Government of Bihar,3.5,193,Government,Patna,547,2,--,11
Dew Solutions,3.4,193,IT Services & Consulting,Gurugram,1.2k,23,2,20
Stedman Pharmaceuticals,4.1,193,Pharma,Chennai,353,27,7,23
Param Renewable Energy,3.8,193,Power,Bengaluru,529,18,--,15
Abellon Clean Energy,3.0,193,Other,Ahmedabad,864,4,9,17
Knoldus Inc,3.8,192,IT Services & Consulting,Noida,485,21,--,29
Sheth Creators,3.2,192,Real Estate,Mumbai,768,9,--,15
Code Brew Labs,3.2,192,IT Services & Consulting,Chandigarh,734,16,--,32
Reventics,3.8,192,Healthcare,Hyderabad,888,16,--,19
Vivimed Labs,3.2,192,Chemicals,Hyderabad,844,11,4,15
An Pharmaceuticals,4.4,192,Pharma,New Delhi,154,34,5,31
HPM Chemicals & Fertilizers,4.1,192,Agro Chemicals,New Delhi,458,10,--,97
Dr. Willmar Schwabe India,3.9,192,Healthcare,Noida,503,10,1,16
Euronet Worldwide,3.5,192,FinTech,Mumbai,1.3k,15,5,17
NIMS University,3.1,192,Education & Training,Jaipur,755,16,--,10
Adcock Ingram,3.9,192,Pharma,Bengaluru,853,11,--,13
Excel Industries,3.9,192,Agro Chemicals,Mumbai,964,16,11,11
NTC Logistics India,4.0,192,Logistics,Chennai,926,17,6,17
Minda Stoneridge Instruments,3.1,192,Auto Components,Pune,939,19,--,6
Blue Tokai Coffee Roasters,3.8,192,Hospitality,New Delhi,699,11,10,16
Radiant Appliances,4.2,192,Electronics Manufacturing,Hyderabad,735,14,1,19
Dr. Willmar Schwabe India,3.9,192,Healthcare,Noida,503,10,1,16
Euronet Worldwide,3.5,192,FinTech,Mumbai,1.3k,15,5,17
NIMS University,3.1,192,Education & Training,Jaipur,755,16,--,10
NTC Logistics India,4.0,192,Logistics,Chennai,926,17,6,17
Minda Stoneridge Instruments,3.1,192,Auto Components,Pune,939,19,--,6
Adcock Ingram,3.9,192,Pharma,Bengaluru,853,11,--,13
Four Seasons Hotel,3.9,192,Hospitality,Mumbai,606,9,11,39
Manikaran Power Limited,3.5,192,Power,New Delhi,748,28,1,13
Apollo Telehealth Services,3.9,192,Healthcare,Hyderabad,668,12,--,20
Empower Pragati,3.5,192,Education & Training,New Delhi,465,12,3,13
Kumar Organic Products,3.4,192,Chemicals,Bengaluru,912,17,7,14
Excel Industries,3.9,192,Agro Chemicals,Mumbai,964,16,11,11
Nabard Consultancy Services,3.5,192,Management Consulting,New Delhi,523,18,1,7
NMTronics India Private Limited,3.1,192,Electronics Manufacturing,Noida,507,33,2,12
i-Source Infosystems,3.6,192,IT Services & Consulting,Pune,822,9,2,5
Capline Services,4.0,192,Healthcare,Noida,745,35,4,20
Tonglit Autogistic,3.6,192,Logistics,Chennai,747,18,3,14
Ecolab Digital Center,3.4,192,Chemicals,Bengaluru,1.7k,26,--,7
EbixCash Financial Technologies,2.7,191,IT Services & Consulting,Pune,1.2k,6,12,8
InfoService,4.1,191,IT Services & Consulting,Bengaluru,1k,37,--,2
Hubergroup,3.9,191,Chemicals,Vapi,898,7,38,14
EbixCash Financial Technologies,2.7,191,IT Services & Consulting,Pune,1.2k,6,12,8
Carwale,3.3,191,Internet,Mumbai,1.1k,49,19,23
Cheema Boilers,4.0,191,Industrial Machinery,Sahibzada Ajit Singh Nagar,778,12,9,12
Virinchi Technologies,3.0,191,IT Services & Consulting,Hyderabad,1.1k,20,--,8
CIGNEX,3.8,191,IT Services & Consulting,Bengaluru,1.2k,10,1,20
Ilensys Technologies,4.1,191,Engineering & Construction,Hyderabad,1.1k,28,56,8
Amtex Systems,3.2,191,IT Services & Consulting,Chennai,1.1k,17,1,1
ARC Document Solutions,2.7,191,Printing & Publishing,Kolkata,836,18,6,15
Edunext Technologies,3.3,191,EdTech,Noida,607,17,7,11
FACE Prep,3.9,195,,Coimbatore,336,52,1,26
Cyient DLM,3.8,191,,Hyderabad,843,11,--,11
DesignCafe,3.3,192,Architecture & Interior Design,Bengaluru,1.2k,13,30,11
Gameskraft,4.2,191,Software Product,Bengaluru,1.4k,19,1,6
HLE Glascoat,3.2,191,Industrial Machinery,Anand,825,7,--,13
CloudMoyo,4.0,191,Software Product,Pune,1.2k,8,1,44
Solverminds Solutions and Technologies,3.2,191,IT Services & Consulting,Chennai,1.4k,21,--,7
Theon Pharmaceuticals,3.8,191,Pharma,Baddi,791,16,9,15
Profinch Solutions,3.6,191,FinTech,Bengaluru,1.5k,21,--,9
GoMechanic,3.3,191,Internet,Gurugram,2k,55,8,25
Biesse Manufacturing,3.6,191,Architecture & Interior Design,Bengaluru,942,18,--,17
Oliva Skin and Hair Clinics,3.8,191,Healthcare,Hyderabad,640,14,11,28
Appsquadz Software,4.0,191,IT Services & Consulting,Noida,869,24,1,13
Auto Ignition,3.7,191,Auto Components,Faridabad,678,9,2,21
Thriveni Sainik Mining,4.3,191,Metals & Mining,Hazaribag,622,30,1,11
AMBITION JOB,4.3,190,Recruitment,Hyderabad,78,57,--,26
Radheya Machining,3.5,190,Industrial Machinery,Pune,682,10,15,19
Systopic Laboratories,4.4,190,Pharma,New Delhi,365,5,94,28
Gnrc Hospital,3.6,190,Healthcare,Guwahati,642,15,--,11
Nuance Transcription Services,4.1,190,IT Services & Consulting,Bengaluru,525,1,--,22
R-Logic Technology Services,4.1,190,IT Services & Consulting,Bengaluru,587,13,1,24
ICT Service Management Solutions,3.4,190,IT Services & Consulting,Bengaluru,621,4,1,19
INFRES METHODEX,3.5,190,Industrial Automation,New Delhi,574,7,--,8
CPC Diagnostics,3.8,190,Medical Equipment,Chennai,632,12,--,12
Azure Hospitality,4.0,190,Hospitality,New Delhi,575,11,--,31
INDIA TODAY GROUP,3.6,190,Media & Entertainment,Noida,1.2k,12,--,20
SEG Automotive,4.1,190,Auto Components,Bengaluru,1.2k,11,--,15
Mitsuba,3.7,190,Auto Components,Gurugram,749,6,2,18
Stumpp Schuele & Somappa Springs,3.3,190,Industrial Machinery,Bengaluru,731,10,2,16
Azure Hospitality,4.0,190,Hospitality,New Delhi,575,11,--,31
INFRES METHODEX,3.5,190,Industrial Automation,New Delhi,574,7,--,8
Eicher Trucks and Buses,4.6,190,Automobile,Indore,584,12,--,26
RattanIndia Power,3.4,190,Power,Amravati,742,15,14,19
AMS Comtel BPMS,3.2,190,IT Services & Consulting,New Delhi,768,10,6,11
Google Maps,4.8,190,Internet,Hyderabad,158,21,--,4
SPJ group,4.0,190,Real Estate,New Delhi,198,16,7,10
Kanerika Software,4.2,190,IT Services & Consulting,Hyderabad,566,7,9,2
Apollo Spectra Hospitals,4.4,190,Healthcare,New Delhi,488,17,--,15
Transcom India,2.3,190,BPO,Gurugram,841,22,2,8
Starworth Infrastructure Construction,3.6,190,Engineering & Construction,Bengaluru,767,12,7,7
CapitalVia,3.9,190,Analytics & KPO,Indore,377,48,--,23
Kiran Foreign Trade,3.0,189,Software Product,Sahibzada Ajit Singh Nagar,833,25,3,21
Relyon Softech,4.0,189,Software Product,Bengaluru,915,20,--,16
The Hindu Group,3.9,189,Printing & Publishing,Chennai,936,10,4,14
Kimbal Private Limited,3.3,189,Power,New Delhi,599,18,--,12
C.G. Marketing,3.9,192,Marketing & Advertising,Pune,537,4,--,21
Nandi Toyota,3.9,189,Automobile,Bengaluru,545,17,--,20
Cornerstone OnDemand,3.3,189,Software Product,Pune,1.8k,37,11,9
Abu Dhabi National Hotels,4.0,189,Hospitality,Abu Dhabi,285,10,--,36
Cornerstone OnDemand,3.3,189,Software Product,Pune,1.8k,37,11,9
Massive Restaurants,3.9,189,Hospitality,New Delhi,635,3,--,18
SAT n paper,4.3,189,,New Delhi,155,27,2,2
Abu Dhabi National Hotels,4.0,189,Hospitality,Abu Dhabi,285,10,--,36
O2 Power,4.5,189,Power,Gurugram,523,8,5,4
Phenix Construction Technologies,3.9,189,Engineering & Construction,Ahmedabad,788,16,--,32
Trinity Mobility,3.0,189,IT Services & Consulting,Bengaluru,1.2k,15,2,28
Holy Family Hospital,3.5,189,Healthcare,New Delhi,694,8,37,11
Advantage One Tax Consulting,4.0,189,Financial Services,Hyderabad,532,11,--,15
Cinda Engineering & Construction,4.1,189,Engineering & Construction,Noida,767,17,--,10
Jayem Automotives,3.4,189,Auto Components,Coimbatore,759,10,1,11
Swipewire Technologies,3.8,189,Software Product,Chennai,1.1k,22,--,4
Accutest Research Laboratories,3.3,189,Clinical Research,Mumbai,742,7,--,15
Sagar Hospital,4.2,190,Healthcare,Bengaluru,629,6,4,15
All India Council Technical Education,4.4,189,,New Delhi,211,10,--,5
SBL Knowledge Services,2.9,189,IT Services & Consulting,Madurai,970,17,--,10
Symed Labs,3.7,189,Pharma,Hyderabad,655,8,3,13
Saraca Solutions,4.1,190,IT Services & Consulting,Noida,583,28,49,22
Miraj Group,4.0,188,Printing & Publishing,Udaipur,773,14,1,15
Raptim Research,4.4,188,Clinical Research,Mumbai,911,14,--,14
Karuna Greentech,4.5,188,Electrical Equipment,Kolkata,132,2,--,4
Hindustan Media Ventures,3.6,188,Printing & Publishing,Patna,603,6,--,7
Miraj Group,4.0,188,Printing & Publishing,Udaipur,773,14,1,15
Fortune Marketing,3.6,188,Hardware & Networking,New Delhi,847,12,--,5
Gangavaram Port,3.3,188,Ports & Shipping,Visakhapatnam,605,12,--,7
Jarvis Technology and Strategy Consulting,3.2,188,Management Consulting,New Delhi,819,24,--,8
Arvind Smartspaces Limited,3.6,189,Real Estate,Ahmedabad,726,16,--,12
Anand Rathi Wealth Limited,3.1,190,Financial Services,Mumbai,1.3k,25,--,7
Mentorsity,4.4,188,EdTech,New Delhi,58,12,--,29
Bajaj Steel Industries,3.4,188,Industrial Machinery,Nagpur,1.1k,13,1,10
Cogniter Technologies,3.5,188,IT Services & Consulting,Hyderabad,2.6k,20,4,18
Gunnebo,3.8,188,Defence & Aerospace,Vadodara,808,12,9,15
S V S Projects India,3.1,188,Engineering & Construction,Hyderabad,601,11,--,13
Ess Kay Group,3.6,188,Industrial Machinery,Gurugram,634,13,1,5
Prgx India,3.2,188,Accounting & Auditing,Pune,1.3k,15,68,23
Teleminds Infotech,2.7,188,BPO,Kolkata,660,13,4,20
DSM SOFT,2.9,188,IT Services & Consulting,Tiruchirappalli,817,13,--,12
Micromatic Grinding Technologies,4.0,188,Industrial Machinery,Ghaziabad,746,10,8,22
Naresh i Technologies,4.0,188,IT Services & Consulting,Hyderabad,676,14,8,5
Walstar Technologies,4.1,188,IT Services & Consulting,Kolhapur,490,27,12,10
IFB Agro Industries,4.0,188,Beverage,Kolkata,700,8,--,26
APAC Financial Services,4.1,188,Financial Services,Mumbai,544,10,42,4
Ansal Api,3.9,188,Real Estate,New Delhi,480,12,--,10
Solex Energy,4.7,188,Power,Surat,289,30,1,4
Inspiredge IT Solutions,3.9,188,IT Services & Consulting,Visakhapatnam,1k,12,3,25
Open Financial Technologies Private Limited,3.3,188,FinTech,Bengaluru,1.2k,28,2,4
Savills,3.6,188,Real Estate,Bengaluru,1.2k,16,4,11
Toyota Boshoku Automotive,4.1,188,Auto Components,Bengaluru,767,5,9,13
Mangal Industries,3.8,188,Auto Components,Tirupati,771,9,--,10
D'Decor Home Fabrics,4.0,188,Fashion & Textile,Mumbai,984,17,4,12
Jaslok Hospital and Research Centre,4.1,188,Healthcare,Mumbai,756,9,7,18
Psychotropics India,3.9,188,Pharma,Haridwar,656,3,1,12
Burman Hospitality,3.8,188,Hospitality,New Delhi,633,10,12,16
PPMS Field Marketing,3.8,189,Marketing & Advertising,Chennai,533,11,--,6
Celon Laboratories,3.3,188,Pharma,Hyderabad,805,9,7,12
Denso Ten Minda India,4.0,188,Auto Components,Bawal,755,16,--,13
Magnit Global,3.4,188,Software Product,Vadodara,809,18,--,1
Virbac Animal Health,3.9,187,Pharma,Mumbai,403,6,--,19
Volante Technologies,3.3,187,FinTech,Chennai,1.5k,19,2,17
ASK-EHS Engineering & Consultants,3.5,187,Engineering & Construction,Surat,626,12,--,14
Bambino Agro Industries,3.8,187,Food Processing,Hyderabad,763,8,1,16
Indian Council of Medical Research,4.3,187,Healthcare,New Delhi,724,7,--,5
VAYA Finserv,4.0,187,Financial Services,Hyderabad,450,11,--,17
HEUBACH Colour,4.0,187,Chemicals,Ankleshwar,916,11,8,20
Apollo Supply Chain,3.8,187,Logistics,Gurugram,668,13,3,4
Cyntexa,4.0,187,IT Services & Consulting,Jaipur,591,41,48,17
Bentley Systems,4.1,187,Software Product,Pune,1.4k,22,17,25
KPI Partners,3.6,187,IT Services & Consulting,Hyderabad,991,20,58,24
Mansukh Securities & Finance,3.1,187,Financial Services,Ahmedabad,899,24,2,6
GUVI,3.5,187,EdTech,Chennai,886,30,6,5
SmartQ - Bottle Lab Technologies,4.0,188,Software Product,Bengaluru,1.1k,24,77,14
Source One Management Services,3.4,187,IT Services & Consulting,Bengaluru,796,23,--,11
DavaIndia,3.6,187,,Kolkata,545,18,--,5
iQuanti,4.0,187,Marketing & Advertising,Bengaluru,1.1k,18,21,16
The Pride Hotel,3.3,187,Hospitality,Pune,716,10,1,20
Lennox India Technology Centre,3.6,187,Industrial Machinery,Chennai,1.1k,27,46,17
Bajaj Financial Securities,4.2,187,Financial Services,Pune,530,20,47,5
Rane Group,3.9,187,Auto Components,Chennai,759,14,--,19
Experian,3.8,187,FinTech,Hyderabad,2.4k,28,151,11
U.S. Polo Assn,4.4,187,Retail,Bengaluru,505,9,--,15
Stantec,3.8,187,Engineering & Construction,Pune,1.4k,30,15,8
NeST Digital,3.5,187,IT Services & Consulting,Kochi,1.4k,20,115,5
Epimoney,3.3,187,Financial Services,Mumbai,917,19,23,3
International Travel House,3.8,187,Travel & Tourism,New Delhi,635,6,5,22
Admiral Solutions,3.1,187,IT Services & Consulting,New Delhi,1k,12,--,12
SmartSchool Education,4.6,187,EdTech,Noida,443,48,1,49
CleanMax Enviro Energy Solutions,4.4,187,Power,Mumbai,890,22,50,7
Digital Web Solutions,3.7,187,IT Services & Consulting,Gurugram,692,21,42,3
Kenvue,3.5,187,Beauty & Personal Care,Bengaluru,1.4k,9,43,1
Aptonline,3.3,187,IT Services & Consulting,Hyderabad,1.1k,7,--,17
Lithium Urban Technologies,3.5,187,Urban Transport,Bengaluru,705,9,2,5
Private Practice,4.4,187,,New Delhi,3.3k,16,--,8
"L&T Construction, Mining and Industrial Machinery",4.0,187,Industrial Machinery,Bengaluru,376,10,--,95
AlmaBetter,3.6,187,,Bengaluru,765,23,--,1
S kant Healthcare Ltd,4.6,186,Pharma,Vapi,534,9,4,8
Sadhu Forging,3.6,186,Industrial Machinery,Faridabad,769,15,3,11
Donear Industries,3.3,186,Fashion & Textile,Mumbai,838,8,6,7
Essencea Infoserv,2.7,186,BPO,Hyderabad,512,18,--,2
Ican BPO,4.4,186,BPO,Thane,237,3,--,15
FreshersNow,3.9,186,,Hyderabad,226,57,--,5
Arabtec Construction,4.2,186,Engineering & Construction,New Delhi,425,5,--,26
JK Agri Genetics,3.5,186,Biotechnology,Hyderabad,436,8,--,17
Target Engineering Construction Company,3.9,186,Engineering & Construction,Abu Dhabi,508,12,--,14
M*Modal,3.6,186,IT Services & Consulting,Bengaluru,463,2,--,33
MaxVal Group,3.1,186,IT Services & Consulting,Coimbatore,1.1k,22,--,9
Epp Composites,3.3,186,Industrial Machinery,Rajkot,697,69,10,7
Valiant Organics,3.5,186,Chemicals,Bharuch,972,8,6,9
Enterslice,3.8,186,FinTech,Noida,536,26,11,15
Trellix,3.3,187,Software Product,Bengaluru,1.6k,24,--,3
Rajhans Group of Industries,4.2,186,Real Estate,Surat,513,23,7,14
Architect Hafeez Contractor,3.0,186,Architecture & Interior Design,Mumbai,521,12,--,7
Grupo Bimbo,3.5,186,FMCG,New Delhi,918,12,--,5
Vmoksha Technologies,4.5,186,IT Services & Consulting,Bengaluru,535,24,--,6
NSL Sugars,4.1,186,Food Processing,Hyderabad,569,7,10,11
Ghatge Patil Industries,3.8,186,Industrial Machinery,Kolhapur,910,3,6,7
TPF Engineering,3.7,186,Engineering & Construction,Mumbai,629,19,17,19
Cadmaxx Solutions,3.5,186,IT Services & Consulting,Bengaluru,784,18,16,6
Reliance Smart Point,4.2,186,,Kolkata,411,22,--,10
Carryfast group,3.5,186,Logistics,Indore,619,11,2,5
WNS Denali,3.4,186,Management Consulting,Pune,746,26,--,6
Zuari Agro Chemicals,3.8,186,Agro Chemicals,Vasco Da Gama,627,7,--,19
Bharat Benz,4.3,186,Automobile,Chennai,569,12,--,24
Kutch Copper,3.7,186,Metals & Mining,Mundra,680,9,--,2
Hindustan Platinum,3.4,186,Metals & Mining,Mumbai,1.2k,21,10,18
Eurofins Advinus,3.5,186,Pharma,Bengaluru,1.2k,9,11,8
Proventech,4.2,186,Software Product,Hyderabad,453,11,10,3
Sulphur Mills,3.5,186,Agro Chemicals,Mumbai,841,13,9,22
Supple Tek Industries,3.5,186,Food Processing,Amritsar,540,17,6,9
GVK Group,3.7,186,Engineering & Construction,Hyderabad,717,12,--,14
APOLLO POWER SYSTEMS,3.8,186,Electrical Equipment,Bengaluru,586,16,11,12
Birdeye,3.1,186,Marketing & Advertising,Gurugram,1.1k,30,23,9
Towell Engineering Group,3.6,185,Engineering & Construction,Muscat,504,10,--,32
Tata Memorial Hospital,4.1,185,Healthcare,Mumbai,621,12,--,18
RT Network Solutions,3.5,185,IT Services & Consulting,Kolkata,609,14,3,9
Crif Solutions,3.1,185,FinTech,Pune,1.3k,24,13,19
SeQuent Scientific,3.7,185,Pharma,Mumbai,734,3,--,13
Arwade Infrastructure,3.9,185,Engineering & Construction,Pune,548,10,--,12
Fangs Technology,3.9,185,Consumer Electronics & Appliances,Chennai,765,7,--,13
Labtron Equipment,3.5,185,,Hyderabad,305,24,--,2
Appiness Interactive,4.3,185,IT Services & Consulting,Bengaluru,626,10,23,2
Towell Engineering Group,3.6,185,Engineering & Construction,Muscat,504,10,--,32
Tech Vedhu,4.5,185,,Bengaluru,21,12,1,22
Translumina Therapeutics,3.3,185,Healthcare,New Delhi,612,10,1,56
Heavy Engineering Corporation,3.6,185,Engineering & Construction,Ranchi,717,11,--,21
Arwade Infrastructure,3.9,185,Engineering & Construction,Pune,548,10,--,12
Simplify3x Software,3.9,185,Software Product,Bengaluru,1.3k,17,4,1
Unify Technologies,2.8,185,IT Services & Consulting,Hyderabad,1.3k,29,57,19
Goibibo,2.6,185,Travel & Tourism,Gurugram,789,11,17,18
Intense Technologies,3.6,185,IT Services & Consulting,Hyderabad,1.3k,12,9,18
Dar Al Handasah Consultants Shair And Partners,3.0,185,Engineering & Construction,Pune,1.1k,19,9,6
Labtron Equipment,3.5,185,,Hyderabad,305,24,--,2
Fangs Technology,3.9,185,Consumer Electronics & Appliances,Chennai,765,7,--,13
General Diagnostics International Private Limited,3.1,185,Healthcare,Mumbai,608,20,12,7
Vastu Finserve,4.1,185,NBFC,New Delhi,463,5,11,1
Axa Parenterals,3.8,185,Medical Equipment,Roorkee,764,21,1,17
W3Global,3.2,185,Recruitment,Hyderabad,990,21,--,8
Ring Plus Aqua,4.1,185,Auto Components,Nashik,691,14,--,10
Birla Cellulose,3.6,185,Pulp & Paper,Bharuch,753,14,--,17
Cloudstrats Technologies,3.1,185,IT Services & Consulting,Mumbai,367,17,7,12
Asianet Satellite Communications,4.4,185,Internet,Thiruvananthapuram,565,23,1,12
Asianet Satellite Communications,4.4,185,Internet,Thiruvananthapuram,565,23,1,12
Ananda Dairy,3.8,185,Agriculture,Noida,606,13,1,8
Fichtner Consulting Engineers,3.7,185,Engineering & Construction,Chennai,800,18,10,7
Allset Business Solutions,3.7,185,BPO,Chennai,1k,15,--,8
Celio Future Fashion,4.3,184,Retail,Mumbai,403,5,--,16
Incrementors Web Solutions,3.8,184,Financial Services,New Delhi,194,25,--,48
Oxford University Press,3.2,184,Printing & Publishing,New Delhi,954,8,34,19
Anytime Fitness,3.5,184,Fitness & Wellness,New Delhi,768,14,--,13
TalentServe,2.0,184,Software Product,Mumbai,124,25,--,2
Reliance Corporate IT Park,4.0,184,,Mumbai,718,8,--,20
Hyundai Heavy Industries,3.4,184,Industrial Machinery,Pune,380,11,--,30
Dr Shroff Charity Eye Hospital,3.8,184,Healthcare,New Delhi,463,8,16,14
Market Xcel Data Matrix,2.7,184,Analytics & KPO,New Delhi,642,12,1,10
RPP Infra Projects,3.9,184,Engineering & Construction,Chennai,790,25,--,7
Oswal Group,3.8,184,Fashion & Textile,Ludhiana,695,12,6,3
Jar,4.4,184,FinTech,Bengaluru,445,42,11,34
Polyplastics,3.7,184,Petrochemicals,Ahmedabad,887,4,--,10
Aurus,2.7,184,FinTech,Pune,1.4k,31,2,12
Electronics Mart India,3.5,184,Retail,Hyderabad,699,18,3,3
Graygraph Technologies Private Limited,4.2,184,IT Services & Consulting,Noida,626,34,7,2
Aurus,2.7,184,FinTech,Pune,1.4k,31,2,12
Careers360,2.9,184,Education & Training,Gurugram,1.1k,18,--,11
OneAdvanced,2.7,184,IT Services & Consulting,Bengaluru,1k,20,4,2
Anthea Pharma,4.0,184,Pharma,Hyderabad,549,36,9,6
Anytime Fitness,3.5,184,Fitness & Wellness,New Delhi,768,14,--,13
All Time Plastics,4.0,184,Petrochemicals,Mumbai,779,6,4,10
National Aerospace Laboratories,4.3,184,Defence & Aerospace,Bengaluru,801,14,--,27
Electronics Mart India,3.5,184,Retail,Hyderabad,699,18,3,3
Novopor Advanced Science,4.0,184,Chemicals,Visakhapatnam,870,12,7,9
GD Goenka University,3.4,184,Education & Training,Gurugram,773,14,10,15
