name,ratings,count_of_rating,company_types,hq,salary,interview_counts,jobs,benefits
Deutsche Bank,3.8,4.6k,Banking,Pune,39k,439,283,425
Home Credit Finance,4.0,4.6k,NBFC,Gurugram,9.1k,155,124,597
Motilal Oswal Financial Services,3.7,4.6k,Financial Services,Mumbai,13.7k,562,41,179
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida,11.5k,265,13,583
TeamLease Services,3.9,4.5k,Recruitment,Bengaluru,16.8k,263,--,221
Hyundai Motor India Limited,4.1,4.5k,Automobile,Chennai,14.6k,334,7,530
VE Commercial Vehicles,3.9,4.5k,Automobile,Indore,14.7k,304,24,363
Thermax Limited,4.2,4.4k,Industrial Machinery,Pune,13.6k,362,46,393
Jubilant Foods Works,3.7,4.4k,Hospitality,Noida,10.1k,266,365,202
Macleods Pharmaceuticals,3.7,4.4k,Pharma,Mumbai,16.1k,282,33,348
Carelon Global Solutions,4.0,4.4k,IT Services & Consulting,Bengaluru,29.4k,435,134,32
Jindal Steel Limited,3.9,4.3k,Iron & Steel,Angul,16.6k,451,33,350
Aakash Educational Services,3.2,4.3k,Education & Training,New Delhi,14.2k,384,118,213
State Street Corporation,3.5,4.3k,Financial Services,Bengaluru,35k,305,10,274
State Street Corporation,3.5,4.3k,Financial Services,Bengaluru,35k,305,10,274
Bajaj Auto,3.8,4.3k,Automobile,Pune,15.2k,338,40,486
LG Electronics,3.8,4.3k,Consumer Electronics & Appliances,Pune,11.4k,273,14,404
HDFC ERGO General Insurance,3.9,4.2k,Insurance,Mumbai,12.3k,212,7,278
DCB Bank,3.8,4.2k,Banking,Mumbai,9.8k,239,14,259
Kogta Financial India Limited,4.6,4.2k,NBFC,Jaipur,2k,252,100,38
Royal Enfield,4.2,4.2k,Automobile,Chennai,15.3k,212,1,397
RBL Bank,3.5,4.2k,Banking,Mumbai,18.9k,254,41,221
John Deere,4.0,4.2k,Industrial Machinery,Pune,15.9k,278,4,440
Publicis Sapient,3.2,4.1k,IT Services & Consulting,Bengaluru,33.7k,717,88,407
Cloudnine Hospital,4.5,4.1k,Healthcare,Bengaluru,3.2k,1.6k,32,199
Tata Communications,3.8,4.1k,Telecom,Pune,24k,312,186,429
Cummins,4.3,4.1k,Industrial Machinery,Pune,15.9k,299,185,467
Alembic Pharmaceuticals,3.9,4.1k,Pharma,Vadodara,16k,272,53,390
Pidilite Industries,4.2,4.1k,Chemicals,Mumbai,12.3k,278,13,366
Aditya Birla Sun Life Insurance,4.0,4k,Insurance,Mumbai,10.7k,194,--,217
Grasim Industries,4.0,4k,Building Material,Bharuch,13.4k,300,5,298
Bank of America,4.1,4k,Banking,Gurugram,30.6k,298,--,417
PNB MetLife,3.3,4k,Insurance,New Delhi,8.5k,202,1,224
American Express,4.1,4k,Financial Services,Gurugram,26.3k,443,244,460
Aditya Birla Capital,3.8,4k,NBFC,Mumbai,14.9k,274,--,225
Kyndryl,3.9,4k,IT Services & Consulting,Bengaluru,28.7k,242,676,178
Oyo Rooms,3.0,4k,Hospitality,Gurugram,13.2k,268,129,393
Subros,3.8,4k,Auto Components,Noida,12.9k,233,1,399
KPIT Technologies,2.8,4k,Software Product,Pune,24.6k,355,18,295
ADP Private Limited,3.9,4k,Software Product,Hyderabad,22.6k,305,59,469
Escorts Kubota Limited,4.1,3.9k,Industrial Machinery,Faridabad,14.2k,318,6,277
Maersk,3.9,3.9k,Logistics,Chennai,20.1k,257,65,439
JK Cement,4.0,3.9k,Building Material,New Delhi,10.8k,363,6,275
Viatris,4.1,3.9k,Pharma,Hyderabad,14.5k,174,13,508
XpressBees,4.1,3.9k,Logistics,Pune,8.5k,448,8,161
Blinkit,3.8,3.9k,Internet,Gurugram,14.9k,405,1,240
PVR INOX,3.9,3.9k,Media & Entertainment,New Delhi,9.7k,226,51,252
PhonePe,4.0,3.9k,FinTech,Bengaluru,14.5k,452,72,207
Altruist Technologies,4.3,3.9k,BPO,Bengaluru,8.4k,726,6,84
Birlasoft,3.4,3.9k,IT Services & Consulting,Pune,29.9k,323,602,255
Synechron,3.4,3.9k,IT Services & Consulting,Pune,29.5k,417,149,261
Glenmark Pharmaceuticals,3.8,3.8k,Pharma,Mumbai,12.3k,195,219,333
Sodexo,4.0,3.8k,Hospitality,Mumbai,10.3k,220,2.2k,366
